Justice Name,Gift,Source,Value,Year
Stephen Breyer,Marshall-Wythe Medallion,William & Mary,200.00,2000
Ruth Bader Ginsburg,Pewter bowl (Wendy Webster Williams Award),Georgetown Journal of Gender and the Law,200.00,2000
Sandra Day O'Connor,Crystal fountain,American Bar Association Commission on Women in the Profression,500.00,2000
Clarence Thomas,Honorary membership,University Club,500.00,2000
Clarence Thomas,Deep cycle batteries,Former law clerks,"1,200.00",2000
Clarence Thomas,"Lodging and meals at Sea Island, Ga., resort",Unknown,"3,000.00",2000
Clarence Thomas,One-way private plane flight to Hillsdale College,Unknown,"18,167.00",2000
Clarence Thomas,Private plane flight from Hillsdate to University of Louisville back to D.C.,Unknown,"27,167.00",2000
Clarence Thomas,Roundtrip private plane flight to Culver Stockton College,Unknown,"43,333.00",2000
Clarence Thomas,Roundtrip private plane flight to Oklahoma Council of Public Affairs,Unknown,"51,333.00",2000
Clarence Thomas,Roundtrip private plane flight to Drake University,Unknown,"56,333.00",2000
Ruth Bader Ginsburg,Fordham-Stein Prize (glass plaque),Fordham University,200.00,2001
Antonin Scalia,Framed portraits,"Peter Secchia, Republican donor and former ambassador to Italy",300.00,2001
Sandra Day O'Connor,Bronze statue,National Cowboy and Western Heritage Museum,475.00,2001
Clarence Thomas,Honorary membership,University Club,500.00,2001
Antonin Scalia,"Hunting on commercially owned Ringneck Ranch in Tipson, Kan.","Unknown Kansas politico or Ringneck Ranch, Inc.",778.00,2001
Antonin Scalia,Meals and lodging at Ringneck Ranch,"Unknown Kansas politico or Ringneck Ranch, Inc.","1,200.00",2001
Clarence Thomas,Abraham Lincoln Bust (Boyer Award),American Enterprise Institute,"15,000.00",2001
Clarence Thomas,Fredrick Douglass bible,Harlan and Kathy Crow,"19,000.00",2001
Ruth Bader Ginsburg,Medal,National Women's Hall of Fame,200.00,2002
Sandra Day O'Connor,Engraved vase,New Mexico Military Institute,300.00,2002
Clarence Thomas,Honorary membership,University Club,500.00,2002
Clarence Thomas,Tires,Greg Werner,"1,200.00",2002
Clarence Thomas,"Education gift to Mark Martin, Thomas' grand-nephew whom Thomas took in around 1997",Earl & Louise Dixon,"5,000.00",2002
Clarence Thomas,Roundtrip private plane flight to Campbell University Norman Adrian Wiggins School of Law,Unknown,"25,000.00",2002
Clarence Thomas,Roundtrip private plane flight to St. Benedict's Prep,Unknown,"28,333.00",2002
Clarence Thomas,Roundtrip flight to Georgia State Bar Annual Meeting,Unknown,"35,000.00",2002
Clarence Thomas,Roundtrip private plane flight to Drake University,Unknown,"56,333.00",2002
Clarence Thomas,Roundtrip private plane flight to Greater Omaha Chamber of Commerce,Unknown,"61,667.00",2002
Sandra Day O'Connor,Liberty Medal,National Constitution Center,200.00,2003
Sandra Day O'Connor,Blanket,Catherine & Wayne Reynolds and American Academy of Achievement,500.00,2003
John Paul Stevens,Honorary membership,Union League Club of Chicago,"1,333.00",2003
Antonin Scalia,Honorary membership,University Club,"1,500.00",2003
Anthony M. Kennedy,Honorary membership,University Club,"1,550.00",2003
William H. Rehnquist,Honorary membership,University Club,"1,824.00",2003
Anthony M. Kennedy,Honorary membership,Del Paso Country Club,"2,400.00",2003
Antonin Scalia,Honorary membership,Washington Golf and Tennis Club,"4,000.00",2003
Anthony M. Kennedy,Honorary membership,Washington Golf and Country Club,"4,000.00",2003
John Paul Stevens,Honorary membership,Washington Golf and Country Club,"4,116.00",2003
William H. Rehnquist,Honorary membership,Washington Golf and Country Club,"5,184.00",2003
John Paul Stevens,Honorary membership,Coral Ridge Country Club,"6,900.00",2003
Sandra Day O'Connor,Award,American Philosophical Society's Benjamin Franklin Award for Distinguished Public Service,"18,000.00",2003
Clarence Thomas,Trophy (likely an engraved glass prism),RV Industry Association Spirit of America Award,200.00,2004
Ruth Bader Ginsburg,Honorary membership,Lotos Club,"1,125.00",2004
John Paul Stevens,Honorary membership,Union League Club of Chicago,"1,333.00",2004
Antonin Scalia,Honorary membership,University Club,"1,500.00",2004
Anthony M. Kennedy,Honorary membership,University Club,"1,550.00",2004
Ruth Bader Ginsburg,Honorary membership,University Club,"1,884.00",2004
Ruth Bader Ginsburg,Honorary membership,City Tavern Club,"1,884.00",2004
Clarence Thomas,"Meals and lodging in Missoula, Mont., for Dennis Washington's birthday",Unknown member(s) of the Horatio Alger Association,"2,000.00",2004
Anthony M. Kennedy,Honorary membership,Del Paso Country Club,"2,400.00",2004
Antonin Scalia,Honorary membership,Washington Golf and Tennis Club,"4,000.00",2004
Anthony M. Kennedy,Honorary membership,Washington Golf and Country Club,"4,000.00",2004
John Paul Stevens,Honorary membership,Washington Golf and Country Club,"4,116.00",2004
John Paul Stevens,Honorary membership,Coral Ridge Country Club,"6,900.00",2004
Antonin Scalia,"Meals and lodging at Galena Plantation, Miss.","Galena Planation's parent company, Fitch Farms, Inc.","7,800.00",2004
Clarence Thomas,"Travel to, Dennis Washington's birthday party in Montana (unlikely Thomas paid)",Unknown member(s) of the Horatio Alger Association,"87,333.00",2004
Clarence Thomas,Flights (see note) from D.C. area to Ft. Lauderdale,"Miami Dolphins, Ltd. (Wayne Huizenga)","130,000.00",2004
Clarence Thomas,Flights (see note) from D.C. area to Ft. Lauderdale,"Miami Dolphins, Ltd. (Wayne Huizenga)","130,000.00",2004
Anthony M. Kennedy,Gold-plated plate,American Academy of Achievement,200.00,2005
Anthony M. Kennedy,Gold-plated medal,American Academy of Achievement,200.00,2005
Ruth Bader Ginsburg,Glass vase,The Chicago Foundation for Women,200.00,2005
Antonin Scalia,"Trip on charter boat around Kodiak Island, Alaska",Robin Arkley,500.00,2005
Antonin Scalia,"Trip on charter boat Situk River Yakutat Bay, Alaska",Robin Arkley,500.00,2005
